cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_069,logistics_constrained,0.8,1.5,2026200004,7,0.894590977,0.896215318,0.899044918,0.004453940999999961,0.0016243409999999736,0.0028295999999999877
phase_069,logistics_constrained,0.8,1.5,2026200004,30,0.900027493,0.852465167,0.866909352,-0.03311814099999999,-0.04756232599999999,0.014444184999999998
phase_069,logistics_constrained,0.8,1.5,2026200004,90,0.900741309,0.826344895,0.503977752,-0.3967635570000001,-0.07439641400000008,-0.322367143
phase_069,logistics_constrained,0.8,1.5,2026200004,180,0.901895942,0.824247052,0.0,-0.901895942,-0.07764888999999997,-0.824247052
phase_069,logistics_constrained,0.8,1.5,2026200004,360,0.898191082,0.821433138,0.0,-0.898191082,-0.07675794400000002,-0.821433138
phase_069,logistics_constrained,0.8,1.5,2026200005,7,0.874278566,0.900145421,0.900147662,0.02586909599999998,0.025866854999999966,2.2410000000139263e-06
phase_069,logistics_constrained,0.8,1.5,2026200005,30,0.845317586,0.900538011,0.900542779,0.05522519300000006,0.05522042500000002,4.768000000043848e-06
phase_069,logistics_constrained,0.8,1.5,2026200005,90,0.749283204,0.900276651,0.892037656,0.14275445199999992,0.15099344699999995,-0.008238995000000027
phase_069,logistics_constrained,0.8,1.5,2026200005,180,0.746391425,0.248835799,0.299313989,-0.447077436,-0.49755562600000003,0.050478190000000006
phase_069,logistics_constrained,0.8,1.5,2026200005,360,0.747465383,0.0,0.250788865,-0.49667651799999996,-0.747465383,0.250788865
phase_069,logistics_constrained,0.8,1.5,2026200006,7,0.861987929,0.714641814,0.734683859,-0.12730407,-0.14734611499999994,0.020042044999999953
phase_069,logistics_constrained,0.8,1.5,2026200006,30,0.882061054,0.0,0.0,-0.882061054,-0.882061054,0.0
phase_069,logistics_constrained,0.8,1.5,2026200006,90,0.843975259,0.0,0.0,-0.843975259,-0.843975259,0.0
phase_069,logistics_constrained,0.8,1.5,2026200006,180,0.729815582,0.0,0.0,-0.729815582,-0.729815582,0.0
phase_069,logistics_constrained,0.8,1.5,2026200006,360,0.683629154,0.0,0.0,-0.683629154,-0.683629154,0.0
phase_069,logistics_constrained,0.8,1.5,2026200007,7,0.903094115,0.903115735,0.903116305,2.2189999999921994e-05,2.161999999994446e-05,5.699999999775329e-07
phase_069,logistics_constrained,0.8,1.5,2026200007,30,0.903506283,0.894766839,0.899916909,-0.003589374000000034,-0.00873944400000004,0.005150070000000007
phase_069,logistics_constrained,0.8,1.5,2026200007,90,0.904314226,0.904337375,0.904341044,2.6818000000039532e-05,2.3149000000000086e-05,3.6690000000394463e-06
phase_069,logistics_constrained,0.8,1.5,2026200007,180,0.905507526,0.905524488,0.905527216,1.969000000001664e-05,1.6962000000009247e-05,2.728000000007391e-06
phase_069,logistics_constrained,0.8,1.5,2026200007,360,0.90783718,0.907839784,0.907914774,7.759399999995864e-05,2.603999999961637e-06,7.4989999999997e-05
phase_069,logistics_constrained,0.8,1.5,2026200008,7,0.90290089,0.898978454,0.902773756,-0.0001271339999999732,-0.003922435999999974,0.0037953020000000004
phase_069,logistics_constrained,0.8,1.5,2026200008,30,0.874172833,0.870434275,0.871139634,-0.0030331989999999864,-0.003738558000000003,0.0007053590000000165
phase_069,logistics_constrained,0.8,1.5,2026200008,90,0.800444199,0.871177677,0.879437046,0.07899284699999998,0.07073347800000007,0.008259368999999905
phase_069,logistics_constrained,0.8,1.5,2026200008,180,0.807751136,0.874030952,0.87543103,0.06767989399999996,0.06627981599999999,0.0014000779999999713
phase_069,logistics_constrained,0.8,1.5,2026200008,360,0.811352319,0.87797108,0.88005923,0.06870691099999993,0.06661876099999997,0.0020881499999999553
phase_069,logistics_constrained,0.8,1.5,2026200009,7,0.899874013,0.802163892,0.823821422,-0.07605259100000006,-0.09771012099999998,0.021657529999999925
phase_069,logistics_constrained,0.8,1.5,2026200009,30,0.834910073,0.520939101,0.649124642,-0.185785431,-0.313970972,0.12818554100000001
phase_069,logistics_constrained,0.8,1.5,2026200009,90,0.856430519,0.0,0.533574146,-0.32285637300000003,-0.856430519,0.533574146
phase_069,logistics_constrained,0.8,1.5,2026200009,180,0.843313911,0.0,0.462137958,-0.38117595299999996,-0.843313911,0.462137958
